SSID,MAC Address,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Xerox,6e:ec:98:9a:76:51,x,-92,-92,-92,-92,x,x,x,x,x,-89,-89,-89,-89,-89,x,x,x,x,x
Visitantes,f4:4e:05:16:b5:9d,-74,-77,-77,-77,-76,-77,-79,-77,-77,-73,-75,-78,-77,-74,-76,-74,-74,-78,-80,-75
Visitantes,f4:4e:05:16:b5:92,-68,-64,-64,-65,-65,-66,-66,-66,-66,-68,-64,-64,-64,-65,-65,-65,-67,-67,-63,-65
Visitantes,f4:4e:05:1d:4c:92,-82,-82,-82,-82,-82,-83,-82,-78,-78,-78,-81,-77,-76,-80,-79,-79,-78,-80,-78,-78
Visitantes,f4:4e:05:1d:4c:9d,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
UNMSM,f4:4e:05:16:b5:9f,-73,-76,-76,-77,-75,-77,-77,-77,-76,-73,-74,-78,-77,-73,-76,-74,-74,-78,-80,-74
UNMSM,f4:4e:05:16:b5:90,-68,-64,-64,-65,-66,-66,-67,-66,-66,-68,-63,-63,-66,-66,-66,-65,-65,-65,-63,-65
UNMSM,f4:4e:05:1d:4c:90,-83,-83,-83,-81,-81,-83,-82,-79,-79,-80,-81,-77,-75,-81,-79,-79,-78,-82,-79,-78
UNMSM,f4:4e:05:1d:4c:9f,x,x,x,x,x,x,-88,-88,-88,-88,-88,x,x,x,x,x,x,x,x,x
U.INFORMATICA,c4:12:f5:74:b6:90,-77,x,x,x,x,x,-71,-71,-71,-71,-73,-72,-73,-73,-73,-73,-74,-76,-76,-76
Red Telematica,f4:4e:05:1d:4c:95,-83,-81,-81,-81,-81,-82,-82,-80,-80,-81,-81,-77,-78,-80,-79,-79,-79,-80,-78,-78
Red Telematica,f4:4e:05:1d:4c:9a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
P,fa:fb:59:9c:d2:76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
onehugo,92:00:7c:fc:df:40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-73,-77,-77,-77
MOVISTAR_E138,cc:ed:dc:43:e1:3a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Luis,f6:27:3c:9d:68:5e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Escuela FIEE,78:8c:b5:7a:11:44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EPIC-AUDITORIO,68:72:51:04:68:05,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
ELECTRIK,86:c5:a6:41:0d:2a,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
EAP_GEOGRAFICA,04:da:d2:cf:84:b0,x,x,x,x,x,x,x,x,x,x,x,x,-85,-85,-85,-85,-83,-83,-83,-83
A8369,7a:7a:ee:be:98:b7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
